,Fecha,Estacion_de_Servicio,Producto,Vehiculo,Equipo/Placa,Cantidad_Galones,Costo_Total_ACPM,Actividad_Equipo
102,2023-01-07,EDS EL REFUGIO,CORRIENTE,NISSAN,DMM 139,15.0,129390.0,MINERIA
103,2023-01-08,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
104,2023-01-08,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
105,2023-01-08,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,11.751,101364.12599999999,MINERIA
106,2023-01-08,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
107,2023-01-09,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
108,2023-01-10,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
109,2023-01-10,EDS EL REFUGIO,ACPM,VOLQUETA,XMD 331,80.003,570821.405,MINERIA
110,2023-01-10,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
111,2023-01-10,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
112,2023-01-10,EDS EL REFUGIO,ACPM,VOLQUETA,XVV 775,72.292,515803.42,MINERIA
113,2023-01-11,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,10.746,92694.996,MINERIA
114,2023-01-11,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
115,2023-01-11,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
116,2023-01-12,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,115.427,823571.645,MINERIA
117,2023-01-12,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
118,2023-01-11,EDS EL REFUGIO,ACPM,VOLQUETA,JSL 245,57.615,411083.025,MINERIA
119,2023-01-11,EDS EL REFUGIO,ACPM,VOLQUETA,UFZ 553,61.879,441506.665,MINERIA
